population_size,tournament_size,mutation_rate,lap,value,weight,fitness,convergence_gen,runing_duration
10,2,1,0,4105.0,280.7,1402.7942,1420,0.0433199405670166
10,2,1,1,3827.0,283.9,1353.7734,1372,0.03840208053588867
10,2,1,2,3729.0,281.7,1262.076,992,0.02760910987854004
10,2,1,3,3924.0,284.9,1370.2689,1304,0.0362391471862793
10,2,1,4,3811.0,279.3,1307.0352,602,0.016677141189575195
10,2,2,0,4133.0,282.3,1396.8861,2218,0.06570601463317871
10,2,2,1,3929.0,279.6,1349.5661,1224,0.03673601150512695
10,2,2,2,4169.0,283.1,1393.7329,1606,0.04750537872314453
10,2,2,3,4132.0,284.3,1406.7233,1784,0.052969932556152344
10,2,2,4,4027.0,275.4,1344.0603,832,0.024557828903198242
10,2,1,0,4105.0,280.7,1402.7942,1420,0.03937387466430664
10,2,1,1,3827.0,283.9,1353.7734,1372,0.03798508644104004
10,2,1,2,3729.0,281.7,1262.076,992,0.027460098266601562
10,2,1,3,3924.0,284.9,1370.2689,1304,0.036219120025634766
10,2,1,4,3811.0,279.3,1307.0352,602,0.016624927520751953
10,2,2,0,4133.0,282.3,1396.8861,2218,0.0656900405883789
10,2,2,1,3929.0,279.6,1349.5661,1224,0.03631711006164551
10,2,2,2,4169.0,283.1,1393.7329,1606,0.04742693901062012
10,2,2,3,4132.0,284.3,1406.7233,1784,0.052805185317993164
10,2,2,4,4027.0,275.4,1344.0603,832,0.024503231048583984
10,5,1,0,4263.0,283.8,1432.5351,1476,0.04101085662841797
10,5,1,1,4214.0,282.7,1418.3481,1918,0.053254127502441406
10,5,1,2,4263.0,284.6,1427.6424,1568,0.04378795623779297
10,5,1,3,4306.0,283.5,1432.0698,1778,0.04956173896789551
10,5,1,4,4283.0,283.6,1432.1738,2436,0.06775903701782227
10,5,2,0,4128.0,282.6,1405.2941,1004,0.02970409393310547
10,5,2,1,4024.0,283.2,1378.3498,1096,0.032652854919433594
10,5,2,2,4140.0,282.6,1391.9877,926,0.027379989624023438
10,5,2,3,4256.0,278.1,1422.0042,1512,0.04506111145019531
10,5,2,4,4055.0,284.5,1393.7491,1136,0.03352999687194824
10,7,1,0,4251.0,284.6,1430.1296,1602,0.044567108154296875
10,7,1,1,4160.0,284.7,1415.9293,1522,0.04249382019042969
10,7,1,2,4139.0,284.4,1413.8501,1488,0.0415959358215332
10,7,1,3,4217.0,283.5,1423.2672,1332,0.037117958068847656
